doc_id,unit_id,sentence,role,prev,next,speakers,targets,proc_symbolic_flag,event_phase,unit_hash,unit_dup_flag,source,date
_1701329a7926,_1701329a7926_u000,Another wildfire-affected hazy morning in DC. A day to get those masks out again. 😷 😓,context,,,[],[],False,,e67657e3051031926f34bfcf85b55815,False,01_Hou_X_datasets,2023-06-08 21:27:00
_973b5b378375,_973b5b378375_u000,This latest MAC survey demonstrates a high level of agreement among Taiwanese people toward President Tsai’s approach to cross Strait affairs and international relations.,context,,,[],[],False,,fd2f2cc9a067d8d8ed8dcb205041bc7d,False,01_Hou_X_datasets,2023-06-08 00:36:00
_8f46da387c8d,_8f46da387c8d_u000,Many thanks to @SenatorMenendez and bipartisan members of Congress for consistently backing strong US-Taiwan trade ties. Couldn’t have achieved this agreement without your support!,context,,,[],[],False,,e1ba663d754b43b82d494a64128d8ad1,False,01_Hou_X_datasets,2023-06-06 08:59:00
_f0029664a41b,_f0029664a41b_u000,"""Going to march, Tiananmen Square."" ""Why?",quote,,""" ""It's my duty."" Source: BBC #June4 #TiananmenSquareMassacre",[],[],False,,8b63465ee90935925e71e82889431ee9,False,01_Hou_X_datasets,2023-06-04 20:45:00
_f0029664a41b,_f0029664a41b_u001,""" ""It's my duty."" Source: BBC #June4 #TiananmenSquareMassacre",quote,"""Going to march, Tiananmen Square."" ""Why?",,[],[],False,,df9faac0277d5180e24415ba95bf0a81,False,01_Hou_X_datasets,2023-06-04 20:45:00
_be9b03902ad3,_be9b03902ad3_u000,"Praying for everyone affected by the train accident in India. I extend my heartfelt condolences to the victims and their families, and hope that rescue operations can save all those in need.",context,,,[],[],False,,866216e5404b89b0732d40b2291deb59,False,01_Hou_X_datasets,2023-06-03 21:51:00
_78e7fe2efaad,_78e7fe2efaad_u000,I thanked our friends from the Ronald Reagan Foundation &amp;,context,,"Institute for hosting @iingwen and bipartisan leaders from Congress this April. Continuing the commitment to pursuing peace, freedom, and democracy.",[],[],False,,57e1aa48c9217b6cbbc6274799f64408,False,01_Hou_X_datasets,2023-06-02 08:42:00
_78e7fe2efaad,_78e7fe2efaad_u001,"Institute for hosting @iingwen and bipartisan leaders from Congress this April. Continuing the commitment to pursuing peace, freedom, and democracy.",context,I thanked our friends from the Ronald Reagan Foundation &amp;,,[],[],False,,364fed7ec342d4c88390bc81351f63ea,False,01_Hou_X_datasets,2023-06-02 08:42:00
_b3bd78e4e117,_b3bd78e4e117_u000,"Such an honor to represent Taiwan in signing this milestone agreement of the US-Taiwan Initiative on 21 Century Trade. Thanks to the commitments of both USG USTR and Taiwan negotiators to high standards, look forward to deepening trade.",context,,,[],[],False,,8224920f80691b0b13dc9fd90b8af289,False,01_Hou_X_datasets,2023-06-02 04:15:00
_555c5a920dbb,_555c5a920dbb_u000,"Appreciated the invitation to speak with Main Street Caucus members on policy priorities in our partnership, and thankful for their interest in working together.",context,,,[],[],False,,25be4cd1e34f7f3879fa07208911d82f,False,01_Hou_X_datasets,2023-05-27 01:39:00
_ce79903a6e9a,_ce79903a6e9a_u000,Grateful for this bipartisan initiative to resolve longstanding double taxation issues between the US &amp;,context,,Taiwan. This is key to the success of cross-border investments and industry integration.,[],[],False,,97d8c8c4ad8d9b0131be4a4f6fdceafd,False,01_Hou_X_datasets,2023-05-25 23:28:00
_ce79903a6e9a,_ce79903a6e9a_u001,Taiwan. This is key to the success of cross-border investments and industry integration.,context,Grateful for this bipartisan initiative to resolve longstanding double taxation issues between the US &amp;,,[],[],False,,36c8b807bff0af4fe0143af859dc94ec,False,01_Hou_X_datasets,2023-05-25 23:28:00
_edb8940b2fab,_edb8940b2fab_u000,"TEN FOR TAIWAN: This morning the Select Committee adopted 10 bipartisan policy recommendations for the 118th Congress, which will surge hard power across the international dateline and strengthen deterrence in the Taiwan Strait. 📄Read the full report:",context,,,[],[],False,,34f1a402139f473798157605349a5a29,False,01_Hou_X_datasets,2023-05-25 11:04:00
_ad87d69f3ba4,_ad87d69f3ba4_u000,"Our thanks to all principled friends speaking up for #Taiwan🇹🇼 at #WHA76, among them #Paraguay🇵🇾, #MarshallIslands🇲🇭, #Haiti🇭🇹, #Nauru🇳🇷, #StVincentAndTheGrenadines🇻🇨, #SaintLucia🇱🇨, #Lithuania🇱🇹, #Luxembourg🇱🇺, #Germany🇩🇪 &amp;",context,,#Estonia🇪🇪!,[],[],False,,d8c7927540fe820858a6d849a9a7f4ed,False,01_Hou_X_datasets,2023-05-25 11:02:00
_ad87d69f3ba4,_ad87d69f3ba4_u001,#Estonia🇪🇪!,context,"Our thanks to all principled friends speaking up for #Taiwan🇹🇼 at #WHA76, among them #Paraguay🇵🇾, #MarshallIslands🇲🇭, #Haiti🇭🇹, #Nauru🇳🇷, #StVincentAndTheGrenadines🇻🇨, #SaintLucia🇱🇨, #Lithuania🇱🇹, #Luxembourg🇱🇺, #Germany🇩🇪 &amp;",Global health must transcend politics!,[],[],False,,939670ec97d65fe6aac6263a2b164192,False,01_Hou_X_datasets,2023-05-25 11:02:00
_ad87d69f3ba4,_ad87d69f3ba4_u002,Global health must transcend politics!,context,#Estonia🇪🇪!,,[],[],False,,61976a203cc426301fd17ac5d859a1e3,False,01_Hou_X_datasets,2023-05-25 11:02:00
_ecbabc099592,_ecbabc099592_u000,It was an honor to host the Czech Parliament delegation led by Speaker @market_a highlighting solidarity among like-minded advocates for democracy. Glad to have the people of Czech Republic as friends of Taiwan.,context,,,[],[],False,,bfa172c9ddf99aebffb2cf11da1956ff,False,01_Hou_X_datasets,2023-05-24 23:18:00
_1e90744eac69,_1e90744eac69_u000,"May 20th was the 7th anniversary of President Tsai's inauguration. Over the past 7 years, we have made Taiwan more stable and connected. ROC Taiwan is key to global peace and prosperity. As a presidential candidate, I vow to build on the foundations laid down by President Tsai.",context,,,[],[],False,,3eda181da6a35454ca01cc4e5a77919a,False,01_Hou_X_datasets,2023-05-22 21:08:00
_d701431a633a,_d701431a633a_u000,"Blocked from participating in the @WHO, doctors &amp;",context,,public health experts from #Taiwan🇹🇼 shared their expertise at self-organized events attended by overseas Taiwanese &amp;,[],[],False,,3564f8ec85c001c3b3210b5d3739615a,False,01_Hou_X_datasets,2023-05-22 21:08:00
_d701431a633a,_d701431a633a_u001,public health experts from #Taiwan🇹🇼 shared their expertise at self-organized events attended by overseas Taiwanese &amp;,context,"Blocked from participating in the @WHO, doctors &amp;",global friends on the sidelines of #WHA76. Unjust exclusion can't stop us from proving that #TaiwanCanHelp.,[],[],False,,b1f84767e32a5b23ebe2aced5046d841,False,01_Hou_X_datasets,2023-05-22 21:08:00
_d701431a633a,_d701431a633a_u002,global friends on the sidelines of #WHA76. Unjust exclusion can't stop us from proving that #TaiwanCanHelp.,context,public health experts from #Taiwan🇹🇼 shared their expertise at self-organized events attended by overseas Taiwanese &amp;,,[],[],False,,e126b4b266d6f083bcb12f72e4d4b9c0,False,01_Hou_X_datasets,2023-05-22 21:08:00
_62269a7c4617,_62269a7c4617_u000,"Great day on the Potomac River with 1000+ paddlers for the annual TUSCA Dragon Boat Festival. Despite a couple boats overturning, lots of fun in a genuine cultural experience. Thanks to all who contributed &amp;",context,,participated!,[],[],False,,946ea14b39e96c77a38a80524e3bfa23,False,01_Hou_X_datasets,2023-05-21 08:33:00
_62269a7c4617,_62269a7c4617_u001,participated!,context,"Great day on the Potomac River with 1000+ paddlers for the annual TUSCA Dragon Boat Festival. Despite a couple boats overturning, lots of fun in a genuine cultural experience. Thanks to all who contributed &amp;",,[],[],False,,f8e0351da8aa0d7488f32aae446749d7,False,01_Hou_X_datasets,2023-05-21 08:33:00
_c35981eabfff,_c35981eabfff_u000,"So excited to see the trade negotiations for the first agreement successful, supporting deepening trade and commercial ties between Taiwan and the United States.",context,,,[],[],False,,c4540731caef652e41c6949d1fd4c57b,False,01_Hou_X_datasets,2023-05-19 05:00:00
